Variable,Abbreviation,Level,Unit/Value
Depth-integrated compressive sea ice strength,iicestrength,Surface,N/m
Depth-integrated internal sea ice pressure,iicepressure,Surface,N/m
Ocean mixed layer depth based on density criterion,sokaraml,Surface,m
Sea ice area fraction,iiceconc,Surface,Fraction
Sea ice divergence,iicedivergence,Surface,%/day
Sea ice shear,iiceshear,Surface,%/day
Sea ice volume per unit grid cell area,iicevol,Surface,m
Sea ice x velocity,itzocrtx,Surface,m/s
Sea ice y velocity,itmecrty,Surface,m/s
Sea surface height above geoid,sossheig,Surface,m
Sea water potential temperature,votemper,39 depth levels,K
Sea water potential temperature,votemper,68 depth levels,K
Sea water potential temperature,votemper,99 depth levels,K
Sea water potential temperature,votemper,Surface,K
Sea water salinity,vosaline,39 depth levels,PSU
Sea water salinity,vosaline,68 depth levels,PSU
Sea water salinity,vosaline,99 depth levels,PSU
Sea water salinity,vosaline,Surface,PSU
Sea water x velocity,vozocrtx,39 depth levels,m/s
Sea water x velocity,vozocrtx,68 depth levels,m/s
Sea water x velocity,vozocrtx,99 depth levels,m/s
Sea water x velocity,vozocrtx,Surface,m/s
Sea water y velocity,vomecrty,39 depth levels,m/s
Sea water y velocity,vomecrty,68 depth levels,m/s
Sea water y velocity,vomecrty,99 depth levels,m/s
Sea water y velocity,vomecrty,Surface,m/s
Surface temperature of snow over sea ice or bare sea ice,iicesurftemp,Surface,K
Turbocline depth,somixhgt,Surface,m
Volume of snow on sea ice per unit grid cell area,isnowvol,Surface,cm
