Variable,Abbreviation,Level,Unit/Value
Freezing rain precipitation rate,FPRATE,Surface,kg/(m<sup>2</sup>*s)
Geopotential height,HGT,500 mb,gpm
Heat index,HEATX,2 m Above Ground Level,K
Ice pellets precipitation rate,IPRATE,Surface,kg/(m<sup>2</sup>*s)
Pressure reduced to Mean Sea Level,PRMSL,Mean Sea Level,Pa
Rain precipitation rate,RPRATE,Surface,kg/(m<sup>2</sup>*s)
Snow precipitation rate,SPRATE,Surface,kg/(m<sup>2</sup>*s)
Temperature,TMP,2 m Above Ground Level,K
Total cloud cover,TCDC,Surface,%
Total precipitation rate,TPRATE,Surface,kg/(m<sup>2</sup>*s)
Wind chill factor,WCF,2 m Above Ground Level,K
Wind speed,WIND,10 m Above Ground Level,m/s
