Variable,Abbreviation,Level,Unit/Value
Absolute vorticity,ABSV,250 mb,s<sup>-1</sup>
Absolute vorticity,ABSV,500 mb,s<sup>-1</sup>
Absolute vorticity,ABSV,700 mb,s<sup>-1</sup>
Absolute vorticity,ABSV,850 mb,s<sup>-1</sup>
Albedo,ALBDO,Surface,%
Best (4-layer) lifted index,4LFTX,500 mb,K
Cloud water,CWAT,Atmospheric Column,kg/m<sup>2</sup>
Convective available potential energy,CAPE,Surface,J/kg
Convective inhibition,CIN,Surface,J/kg
Convective precipitation,ACPCP,Surface,kg/m<sup>2</sup>
Dew point depression,DEPR,10 mb,K
Dew point depression,DEPR,100 mb,K
Dew point depression,DEPR,1000 mb,K
Dew point depression,DEPR,1015 mb,K
Dew point depression,DEPR,150 mb,K
Dew point depression,DEPR,175 mb,K
Dew point depression,DEPR,2 m Above Ground Level,K
Dew point depression,DEPR,20 mb,K
Dew point depression,DEPR,200 mb,K
Dew point depression,DEPR,225 mb,K
Dew point depression,DEPR,250 mb,K
Dew point depression,DEPR,275 mb,K
Dew point depression,DEPR,30 mb,K
Dew point depression,DEPR,300 mb,K
Dew point depression,DEPR,350 mb,K
Dew point depression,DEPR,400 mb,K
Dew point depression,DEPR,450 mb,K
Dew point depression,DEPR,50 mb,K
Dew point depression,DEPR,500 mb,K
Dew point depression,DEPR,550 mb,K
Dew point depression,DEPR,600 mb,K
Dew point depression,DEPR,650 mb,K
Dew point depression,DEPR,700 mb,K
Dew point depression,DEPR,750 mb,K
Dew point depression,DEPR,800 mb,K
Dew point depression,DEPR,850 mb,K
Dew point depression,DEPR,875 mb,K
Dew point depression,DEPR,900 mb,K
Dew point depression,DEPR,925 mb,K
Dew point depression,DEPR,950 mb,K
Dew point depression,DEPR,970 mb,K
Dew point depression,DEPR,985 mb,K
Dew point temperature,DPT,2 m Above Ground Level,K
Downward longwave radiation flux,DLWRF,Surface,W/m<sup>2</sup>
Downward shortwave radiation flux,DSWRF,Nominal Top of Atmosphere,W/m<sup>2</sup>
Downward shortwave radiation flux,DSWRF,Surface,W/m<sup>2</sup>
Freezing rain precipitation rate,FPRATE,Surface,kg/(m<sup>2</sup>*s)
Geopotential height,HGT,1 mb,gpm
Geopotential height,HGT,10 mb,gpm
Geopotential height,HGT,100 mb,gpm
Geopotential height,HGT,1000 mb,gpm
Geopotential height,HGT,1015 mb,gpm
Geopotential height,HGT,150 mb,gpm
Geopotential height,HGT,175 mb,gpm
Geopotential height,HGT,20 mb,gpm
Geopotential height,HGT,200 mb,gpm
Geopotential height,HGT,225 mb,gpm
Geopotential height,HGT,250 mb,gpm
Geopotential height,HGT,275 mb,gpm
Geopotential height,HGT,30 mb,gpm
Geopotential height,HGT,300 mb,gpm
Geopotential height,HGT,350 mb,gpm
Geopotential height,HGT,400 mb,gpm
Geopotential height,HGT,450 mb,gpm
Geopotential height,HGT,5 mb,gpm
Geopotential height,HGT,50 mb,gpm
Geopotential height,HGT,500 mb,gpm
Geopotential height,HGT,550 mb,gpm
Geopotential height,HGT,600 mb,gpm
Geopotential height,HGT,650 mb,gpm
Geopotential height,HGT,700 mb,gpm
Geopotential height,HGT,750 mb,gpm
Geopotential height,HGT,800 mb,gpm
Geopotential height,HGT,850 mb,gpm
Geopotential height,HGT,875 mb,gpm
Geopotential height,HGT,900 mb,gpm
Geopotential height,HGT,925 mb,gpm
Geopotential height,HGT,950 mb,gpm
Geopotential height,HGT,970 mb,gpm
Geopotential height,HGT,985 mb,gpm
Ice pellets precipitation rate,IPRATE,Surface,kg/(m<sup>2</sup>*s)
Instantaneous precipitation type,PCPNTYPE,Surface,1=Rain; 2=Rain/snow; 3=Freezing rain; 4=Ice pellets; 5=Snow; 6=None; 7=Drizzle; 8=Freezing drizzle; 9=Freezing rain/ice pellets
K index,KX,Surface,°C
Latent heat net flux,LHTFL,Surface,W/m<sup>2</sup>
Net longwave radiation flux (surface),NLWRS,Surface,W/m<sup>2</sup>
Net shortwave radiation flux (surface),NSWRS,Surface,W/m<sup>2</sup>
Planetary boundary layer height,HPBL,Surface,m
Precipitation rate,PRATE,Surface,kg/(m<sup>2</sup>*s)
Pressure reduced to Mean Sea Level,PRMSL,Mean Sea Level,Pa
Pressure,PRES,Potential Vorticity Unit 1,Pa
Pressure,PRES,Potential Vorticity Unit 1.5,Pa
Pressure,PRES,Potential Vorticity Unit 2,Pa
Pressure,PRES,Surface,Pa
Rain precipitation rate,RPRATE,Surface,kg/(m<sup>2</sup>*s)
Relative humidity,RH,10 mb,%
Relative humidity,RH,100 mb,%
Relative humidity,RH,1000 mb,%
Relative humidity,RH,1015 mb,%
Relative humidity,RH,150 mb,%
Relative humidity,RH,175 mb,%
Relative humidity,RH,2 m Above Ground Level,%
Relative humidity,RH,20 mb,%
Relative humidity,RH,200 mb,%
Relative humidity,RH,225 mb,%
Relative humidity,RH,250 mb,%
Relative humidity,RH,275 mb,%
Relative humidity,RH,30 mb,%
Relative humidity,RH,300 mb,%
Relative humidity,RH,350 mb,%
Relative humidity,RH,400 mb,%
Relative humidity,RH,450 mb,%
Relative humidity,RH,50 mb,%
Relative humidity,RH,500 mb,%
Relative humidity,RH,550 mb,%
Relative humidity,RH,600 mb,%
Relative humidity,RH,650 mb,%
Relative humidity,RH,700 mb,%
Relative humidity,RH,750 mb,%
Relative humidity,RH,800 mb,%
Relative humidity,RH,850 mb,%
Relative humidity,RH,875 mb,%
Relative humidity,RH,900 mb,%
Relative humidity,RH,925 mb,%
Relative humidity,RH,950 mb,%
Relative humidity,RH,970 mb,%
Relative humidity,RH,985 mb,%
Sensible heat net flux,SHTFL,Surface,W/m<sup>2</sup>
Showalter Index,SHWINX,500 mb,K
Skin temperature,SKINT,Surface,K
Snow density,SDEN,Surface,kg/m<sup>3</sup>
Snow depth,SNOD,Surface,m
Snow precipitation rate,SPRATE,Surface,kg/(m<sup>2</sup>*s)
Soil Temperature,TSOIL,Depth Below Land Surface (0-0.1 m),K
Soil Temperature,TSOIL,Surface,K
