Variable,Abréviation,Niveau,Unité/Valeur
Albédo,ALBDO,Surface,%
Composante u du vent,UGRD,1 mb,m/s
Composante u du vent,UGRD,10 m au-dessus du niveau du sol,m/s
Composante u du vent,UGRD,10 mb,m/s
Composante u du vent,UGRD,100 mb,m/s
Composante u du vent,UGRD,1000 mb,m/s
Composante u du vent,UGRD,1015 mb,m/s
Composante u du vent,UGRD,120 m au-dessus du niveau du sol,m/s
Composante u du vent,UGRD,150 mb,m/s
Composante u du vent,UGRD,175 mb,m/s
Composante u du vent,UGRD,20 mb,m/s
Composante u du vent,UGRD,200 mb,m/s
Composante u du vent,UGRD,225 mb,m/s
Composante u du vent,UGRD,250 mb,m/s
Composante u du vent,UGRD,275 mb,m/s
Composante u du vent,UGRD,30 mb,m/s
Composante u du vent,UGRD,300 mb,m/s
Composante u du vent,UGRD,350 mb,m/s
Composante u du vent,UGRD,40 m au-dessus du niveau du sol,m/s
Composante u du vent,UGRD,400 mb,m/s
Composante u du vent,UGRD,450 mb,m/s
Composante u du vent,UGRD,5 mb,m/s
Composante u du vent,UGRD,50 mb,m/s
Composante u du vent,UGRD,500 mb,m/s
Composante u du vent,UGRD,550 mb,m/s
Composante u du vent,UGRD,600 mb,m/s
Composante u du vent,UGRD,650 mb,m/s
Composante u du vent,UGRD,700 mb,m/s
Composante u du vent,UGRD,750 mb,m/s
Composante u du vent,UGRD,80 m au-dessus du niveau du sol,m/s
Composante u du vent,UGRD,800 mb,m/s
Composante u du vent,UGRD,850 mb,m/s
Composante u du vent,UGRD,875 mb,m/s
Composante u du vent,UGRD,900 mb,m/s
Composante u du vent,UGRD,925 mb,m/s
Composante u du vent,UGRD,950 mb,m/s
Composante u du vent,UGRD,970 mb,m/s
Composante u du vent,UGRD,985 mb,m/s
Composante v du vent,VGRD,1 mb,m/s
Composante v du vent,VGRD,10 m au-dessus du niveau du sol,m/s
Composante v du vent,VGRD,10 mb,m/s
Composante v du vent,VGRD,100 mb,m/s
Composante v du vent,VGRD,1000 mb,m/s
Composante v du vent,VGRD,1015 mb,m/s
Composante v du vent,VGRD,120 m au-dessus du niveau du sol,m/s
Composante v du vent,VGRD,150 mb,m/s
Composante v du vent,VGRD,175 mb,m/s
Composante v du vent,VGRD,20 mb,m/s
Composante v du vent,VGRD,200 mb,m/s
Composante v du vent,VGRD,225 mb,m/s
Composante v du vent,VGRD,250 mb,m/s
Composante v du vent,VGRD,275 mb,m/s
Composante v du vent,VGRD,30 mb,m/s
Composante v du vent,VGRD,300 mb,m/s
Composante v du vent,VGRD,350 mb,m/s
Composante v du vent,VGRD,40 m au-dessus du niveau du sol,m/s
Composante v du vent,VGRD,400 mb,m/s
Composante v du vent,VGRD,450 mb,m/s
Composante v du vent,VGRD,5 mb,m/s
Composante v du vent,VGRD,50 mb,m/s
Composante v du vent,VGRD,500 mb,m/s
Composante v du vent,VGRD,550 mb,m/s
Composante v du vent,VGRD,600 mb,m/s
Composante v du vent,VGRD,650 mb,m/s
Composante v du vent,VGRD,700 mb,m/s
Composante v du vent,VGRD,750 mb,m/s
