Variable,Abréviation,Niveau,Unité/Valeur
Composante u du vent,UGRD,10 m au-dessus du niveau du sol,m/s
Composante u du vent,UGRD,50 mb,m/s
Composante u du vent,UGRD,100 mb,m/s
Composante u du vent,UGRD,150 mb,m/s
Composante u du vent,UGRD,200 mb,m/s
Composante u du vent,UGRD,250 mb,m/s
Composante u du vent,UGRD,300 mb,m/s
Composante u du vent,UGRD,400 mb,m/s
Composante u du vent,UGRD,500 mb,m/s
Composante u du vent,UGRD,600 mb,m/s
Composante u du vent,UGRD,700 mb,m/s
Composante u du vent,UGRD,850 mb,m/s
Composante u du vent,UGRD,925 mb,m/s
Composante u du vent,UGRD,1000 mb,m/s
Composante v du vent,VGRD,10 m au-dessus du niveau du sol,m/s
Composante v du vent,VGRD,50 mb,m/s
Composante v du vent,VGRD,100 mb,m/s
Composante v du vent,VGRD,150 mb,m/s
Composante v du vent,VGRD,200 mb,m/s
Composante v du vent,VGRD,250 mb,m/s
Composante v du vent,VGRD,300 mb,m/s
Composante v du vent,VGRD,400 mb,m/s
Composante v du vent,VGRD,500 mb,m/s
Composante v du vent,VGRD,600 mb,m/s
Composante v du vent,VGRD,700 mb,m/s
Composante v du vent,VGRD,850 mb,m/s
Composante v du vent,VGRD,925 mb,m/s
Composante v du vent,VGRD,1000 mb,m/s
Géopotentiel,GP,50 mb,m<sup>2</sup>/s<sup>2</sup>
Géopotentiel,GP,100 mb,m<sup>2</sup>/s<sup>2</sup>
Géopotentiel,GP,150 mb,m<sup>2</sup>/s<sup>2</sup>
Géopotentiel,GP,200 mb,m<sup>2</sup>/s<sup>2</sup>
Géopotentiel,GP,250 mb,m<sup>2</sup>/s<sup>2</sup>
Géopotentiel,GP,300 mb,m<sup>2</sup>/s<sup>2</sup>
Géopotentiel,GP,400 mb,m<sup>2</sup>/s<sup>2</sup>
Géopotentiel,GP,500 mb,m<sup>2</sup>/s<sup>2</sup>
Géopotentiel,GP,600 mb,m<sup>2</sup>/s<sup>2</sup>
Géopotentiel,GP,700 mb,m<sup>2</sup>/s<sup>2</sup>
Géopotentiel,GP,850 mb,m<sup>2</sup>/s<sup>2</sup>
Géopotentiel,GP,925 mb,m<sup>2</sup>/s<sup>2</sup>
Géopotentiel,GP,1000 mb,m<sup>2</sup>/s<sup>2</sup>
Humidité spécifique,SPFH,50 mb,kg/kg
Humidité spécifique,SPFH,100 mb,kg/kg
Humidité spécifique,SPFH,150 mb,kg/kg
Humidité spécifique,SPFH,200 mb,kg/kg
Humidité spécifique,SPFH,250 mb,kg/kg
Humidité spécifique,SPFH,300 mb,kg/kg
Humidité spécifique,SPFH,400 mb,kg/kg
Humidité spécifique,SPFH,500 mb,kg/kg
Humidité spécifique,SPFH,600 mb,kg/kg
Humidité spécifique,SPFH,700 mb,kg/kg
Humidité spécifique,SPFH,850 mb,kg/kg
Humidité spécifique,SPFH,925 mb,kg/kg
Humidité spécifique,SPFH,1000 mb,kg/kg
Pression réduite au niveau moyen de la mer,PRMSL,Niveau moyen de la mer,Pa
Température,TMP,2 m au-dessus du niveau du sol,K
Température,TMP,50 mb,K
Température,TMP,100 mb,K
Température,TMP,150 mb,K
Température,TMP,200 mb,K
Température,TMP,250 mb,K
Température,TMP,300 mb,K
Température,TMP,400 mb,K
Température,TMP,500 mb,K
Température,TMP,600 mb,K
Température,TMP,700 mb,K
Température,TMP,850 mb,K
Température,TMP,925 mb,K
Température,TMP,1000 mb,K
Vitesse verticale (pression),VVEL,50 mb,Pa/s
Vitesse verticale (pression),VVEL,100 mb,Pa/s
Vitesse verticale (pression),VVEL,150 mb,Pa/s
Vitesse verticale (pression),VVEL,200 mb,Pa/s
Vitesse verticale (pression),VVEL,250 mb,Pa/s
Vitesse verticale (pression),VVEL,300 mb,Pa/s
Vitesse verticale (pression),VVEL,400 mb,Pa/s
Vitesse verticale (pression),VVEL,500 mb,Pa/s
Vitesse verticale (pression),VVEL,600 mb,Pa/s
Vitesse verticale (pression),VVEL,700 mb,Pa/s
Vitesse verticale (pression),VVEL,850 mb,Pa/s
Vitesse verticale (pression),VVEL,925 mb,Pa/s
Vitesse verticale (pression),VVEL,1000 mb,Pa/s
