Variable,Abbreviation,Level,Unit/Value
PM2.5 concentrations,PM2.5,Atmospheric Column,μg/m<sup>-3</sup>
PM2.5 concentrations,PM2.5,Surface,μg/m<sup>-3</sup>
PM2.5 concentrations associated with vegetation and forest fires' plumes,PM2.5-WildfireSmokePlume,Atmospheric Column,μg/m<sup>-3</sup>
PM2.5 concentrations associated with vegetation and forest fires' plumes,PM2.5-WildfireSmokePlume,Surface,μg/m<sup>-3</sup>
PM10 concentrations,PM10,Atmospheric Column,μg/m<sup>-3</sup>
PM10 concentrations,PM10,Surface,μg/m<sup>-3</sup>
PM10 concentrations associated with vegetation and forest fires' plumes,PM10-WildfireSmokePlume,Atmospheric Column,μg/m<sup>-3</sup>
PM10 concentrations associated with vegetation and forest fires' plumes,PM10-WildfireSmokePlume,Surface,μg/m<sup>-3</sup>
Nitrogen oxyde,NO,Surface,ppb
Nitrogen dioxyde,NO<sub>2</sub>,Surface,ppb
Ozone,O<sub>3</sub>,Surface,ppb
Sulfure dioxide,SO<sub>2</sub>,Surface,ppb
