Variable,Abréviation,Niveau,Unité/Valeur
Concentrations des PM2.5,PM2.5,Colonne atmosphérique,μg/m<sup>-3</sup>
Concentrations des PM2.5,PM2.5,Surface,μg/m<sup>-3</sup>
Concentrations des PM2.5 associées aux panaches de feux de forêt et de végétation,PM2.5-WildfireSmokePlume,Colonne atmosphérique,μg/m<sup>-3</sup>
Concentrations des PM2.5 associées aux panaches de feux de forêt et de végétation,PM2.5-WildfireSmokePlume,Surface,μg/m<sup>-3</sup>
Concentrations des PM10,PM10,Colonne atmosphérique,μg/m<sup>-3</sup>
Concentrations des PM10,PM10,Surface,μg/m<sup>-3</sup>
Concentrations des PM10 associées aux panaches de feux de forêt et de végétation,PM10-WildfireSmokePlume,Colonne atmosphérique,μg/m<sup>-3</sup>
Concentrations des PM10 associées aux panaches de feux de forêt et de végétation,PM10-WildfireSmokePlume,Surface,μg/m<sup>-3</sup>
Monoxyde d'azote,NO,Surface,ppb
Dioxyde d'azote,NO<sub>2</sub>,Surface,ppb
Ozone,O<sub>3</sub>,Surface,ppb
Dioxyde de sulfure,SO<sub>2</sub>,Surface,ppb
