Nom                                                                 | Id                | Services web | Styles                                                                                                
--------------------------------------------------------------------|-------------------|--------------|-------------------------------------------------------------------------------------------------------
GDPS.PRES - Hauteur géopotentielle à 1000.0 mb                      | GDPS.PRES_GZ.1000 | WMS, WCS     | DEFAULT: GEOPOTENTIELHEIGHT-1000mb-LINEAR, GEOPOTENTIELHEIGHT-1000mb                                  
GDPS.PRES - Hauteur géopotentielle à 925.0 mb                       | GDPS.PRES_GZ.925  | WMS, WCS     | DEFAULT: GEOPOTENTIELHEIGHT-925mb-LINEAR, GEOPOTENTIELHEIGHT-925mb                                    
GDPS.PRES - Hauteur géopotentielle à 850.0 mb                       | GDPS.PRES_GZ.850  | WMS, WCS     | DEFAULT: GEOPOTENTIELHEIGHT-925mb-LINEAR, GEOPOTENTIELHEIGHT-925mb                                    
GDPS.PRES - Hauteur géopotentielle à 700.0 mb                       | GDPS.PRES_GZ.700  | WMS, WCS     | DEFAULT: GEOPOTENTIELHEIGHT-700mb-LINEAR, GEOPOTENTIELHEIGHT-700mb                                    
GDPS.PRES - Hauteur géopotentielle à 500.0 mb                       | GDPS.PRES_GZ.500  | WMS, WCS     | DEFAULT: GEOPOTENTIELHEIGHT-500mb-LINEAR, GEOPOTENTIELHEIGHT-500mb                                    
GDPS.PRES - Écart du point de rosée à 1000.0 mb                     | GDPS.PRES_ES.1000 | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
GDPS.PRES - Écart du point de rosée à 925.0 mb                      | GDPS.PRES_ES.925  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
GDPS.PRES - Écart du point de rosée à 850.0 mb                      | GDPS.PRES_ES.850  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
GDPS.PRES - Écart du point de rosée à 700.0 mb                      | GDPS.PRES_ES.700  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
GDPS.PRES - Écart du point de rosée à 500.0 mb                      | GDPS.PRES_ES.500  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
GDPS.PRES - Humidité spécifique à 1000.0 mb                         | GDPS.PRES_HU.1000 | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
GDPS.PRES - Humidité spécifique à 925.0 mb                          | GDPS.PRES_HU.925  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
