Name                                                                   | Id                     | Web Services | Styles                                                                                                
-----------------------------------------------------------------------|------------------------|--------------|-------------------------------------------------------------------------------------------------------
GDPS.ETA - Dew point depression                                        | GDPS.ETA_ES            | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
GDPS.ETA - Total cloud cover (fraction)                                | GDPS.ETA_NT            | WMS, WCS     | DEFAULT: CLOUD                                                                                        
GDPS.ETA - Dew point temperature                                       | GDPS.ETA_TD            | WMS, WCS     | DEFAULT: DEWPOINT                                                                                     
GDPS.ETA - Instantaneous precipitation rate (m/s)                      | GDPS.ETA_RT            | WMS, WCS     | DEFAULT: PRECIPPRTMMH, PRECIPPRTMMH-LINEAR                                                            
GDPS.ETA - Geopotential Height                                         | GDPS.ETA_GZ            | WMS, WCS     | DEFAULT: GPHEIGHT                                                                                     
GDPS.ETA - Specific Humidity                                           | GDPS.ETA_HU            | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
GDPS.ETA - Freezing rain accumulation                                  | GDPS.ETA_FR            | WMS, WCS     | DEFAULT: CAPA24-LINEAR, PRECIPMM, PRECIPMM-LINEAR, CAPA24                                             
GDPS.ETA - Surface pressure                                            | GDPS.ETA_P0            | WMS, WCS     | DEFAULT: PRESSURE                                                                                     
GDPS.ETA - Precipitation accumulation                                  | GDPS.ETA_PR            | WMS, WCS     | DEFAULT: CAPA24-LINEAR, PRECIPMM, PRECIPMM-LINEAR, CAPA24                                             
GDPS.ETA - Rain accumulation                                           | GDPS.ETA_RN            | WMS, WCS     | DEFAULT: CAPA24-LINEAR, PRECIPMM, PRECIPMM-LINEAR, CAPA24                                             
GDPS.ETA - Snow accumulation                                           | GDPS.ETA_SN            | WMS, WCS     | DEFAULT: PRECIPSNOW, PRECIPSNOW-LINEAR                                                                
GDPS.ETA - Surface and soil temperatures (Deep/Mean)                   | GDPS.ETA_I0            | WMS, WCS     | DEFAULT: TEMPSOIL                                                                                     
GDPS.ETA - Sea level pressure (contour)                                | GDPS.ETA_PN            | WFS, WMS     | DEFAULT: PRESSURE4_LINE                                                                               
GDPS.ETA - Sea level pressure                                          | GDPS.ETA_PN-SLP        | WMS, WCS     | DEFAULT: PRESSURE4-LINEAR, PRESSURE4, PRESSURESEAHIGH, PRESSURESEALOW                                 
GDPS.ETA - Air temperature                                             | GDPS.ETA_TT            | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPERATURE-LINEAR, TEMPSUMMER, TEMPSUMMER-LINEAR, TEMPWINTER
GDPS.ETA - Winds                                                       | GDPS.ETA_UU            | WFS, WMS     | DEFAULT: WINDARROWKNOTS, WINDARROW                                                                    
GDPS.ETA - Winds direction                                             | GDPS.ETA_WDIR          | WMS, WCS     | DEFAULT: WDIR3-LINEAR, WDIR6, WDIR6-LINEAR, WDIR3                                                     
1000//GDPS.PRES - Geopotential height at 1000.0 mb                     | GDPS.PRES_GZ.1000      | WMS, WCS     | DEFAULT: GEOPOTENTIELHEIGHT-1000mb-LINEAR, GEOPOTENTIELHEIGHT-1000mb                                  
925//GDPS.PRES - Geopotential height at 925.0 mb                       | GDPS.PRES_GZ.925       | WMS, WCS     | DEFAULT: GEOPOTENTIELHEIGHT-925mb-LINEAR, GEOPOTENTIELHEIGHT-925mb                                    
850//GDPS.PRES - Geopotential height at 850.0 mb                       | GDPS.PRES_GZ.850       | WMS, WCS     | DEFAULT: GEOPOTENTIELHEIGHT-925mb-LINEAR, GEOPOTENTIELHEIGHT-925mb                                    
700//GDPS.PRES - Geopotential height at 700.0 mb                       | GDPS.PRES_GZ.700       | WMS, WCS     | DEFAULT: GEOPOTENTIELHEIGHT-700mb-LINEAR, GEOPOTENTIELHEIGHT-700mb                                    
