Nom                                                                           | Id                     | Services web | Styles                                                                                                
------------------------------------------------------------------------------|------------------------|--------------|-------------------------------------------------------------------------------------------------------
GDPS.ETA - Écart du point de rosée                                            | GDPS.ETA_ES            | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
GDPS.ETA - Couverture nuageuse totale (fraction)                              | GDPS.ETA_NT            | WMS, WCS     | DEFAULT: CLOUD                                                                                        
GDPS.ETA - Température du point de rosée                                      | GDPS.ETA_TD            | WMS, WCS     | DEFAULT: DEWPOINT                                                                                     
GDPS.ETA - Taux de précipitation instantané (m/s)                             | GDPS.ETA_RT            | WMS, WCS     | DEFAULT: PRECIPPRTMMH, PRECIPPRTMMH-LINEAR                                                            
GDPS.ETA - Hauteur géopotentielle                                             | GDPS.ETA_GZ            | WMS, WCS     | DEFAULT: GPHEIGHT                                                                                     
GDPS.ETA - Humidité spécifique                                                | GDPS.ETA_HU            | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
GDPS.ETA - Pluie verglaçante accumulée                                        | GDPS.ETA_FR            | WMS, WCS     | DEFAULT: CAPA24-LINEAR, PRECIPMM, PRECIPMM-LINEAR, CAPA24                                             
GDPS.ETA - Pression à la surface                                              | GDPS.ETA_P0            | WMS, WCS     | DEFAULT: PRESSURE                                                                                     
GDPS.ETA - Précipitations accumulées                                          | GDPS.ETA_PR            | WMS, WCS     | DEFAULT: CAPA24-LINEAR, PRECIPMM, PRECIPMM-LINEAR, CAPA24                                             
GDPS.ETA - Pluie accumulée                                                    | GDPS.ETA_RN            | WMS, WCS     | DEFAULT: CAPA24-LINEAR, PRECIPMM, PRECIPMM-LINEAR, CAPA24                                             
GDPS.ETA - Neige accumulée                                                    | GDPS.ETA_SN            | WMS, WCS     | DEFAULT: PRECIPSNOW, PRECIPSNOW-LINEAR                                                                
GDPS.ETA - Température de la surface et du sol (Profondeur/moyenne)           | GDPS.ETA_I0            | WMS, WCS     | DEFAULT: TEMPSOIL                                                                                     
GDPS.ETA - Pression au niveau de la mer (contour)                             | GDPS.ETA_PN            | WFS, WMS     | DEFAULT: PRESSURE4_LINE                                                                               
GDPS.ETA - Pression au niveau de la mer                                       | GDPS.ETA_PN-SLP        | WMS, WCS     | DEFAULT: PRESSURE4-LINEAR, PRESSURE4, PRESSURESEAHIGH, PRESSURESEALOW                                 
GDPS.ETA - Température de l'air                                               | GDPS.ETA_TT            | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPERATURE-LINEAR, TEMPSUMMER, TEMPSUMMER-LINEAR, TEMPWINTER
GDPS.ETA - Vents                                                              | GDPS.ETA_UU            | WFS, WMS     | DEFAULT: WINDARROWKNOTS, WINDARROW                                                                    
GDPS.ETA - Direction des vents                                                | GDPS.ETA_WDIR          | WMS, WCS     | DEFAULT: WDIR3-LINEAR, WDIR6, WDIR6-LINEAR, WDIR3                                                     
1000//GDPS.PRES - Hauteur géopotentielle à 1000.0 mb                          | GDPS.PRES_GZ.1000      | WMS, WCS     | DEFAULT: GEOPOTENTIELHEIGHT-1000mb-LINEAR, GEOPOTENTIELHEIGHT-1000mb                                  
925//GDPS.PRES - Hauteur géopotentielle à 925.0 mb                            | GDPS.PRES_GZ.925       | WMS, WCS     | DEFAULT: GEOPOTENTIELHEIGHT-925mb-LINEAR, GEOPOTENTIELHEIGHT-925mb                                    
850//GDPS.PRES - Hauteur géopotentielle à 850.0 mb                            | GDPS.PRES_GZ.850       | WMS, WCS     | DEFAULT: GEOPOTENTIELHEIGHT-925mb-LINEAR, GEOPOTENTIELHEIGHT-925mb                                    
700//GDPS.PRES - Hauteur géopotentielle à 700.0 mb                            | GDPS.PRES_GZ.700       | WMS, WCS     | DEFAULT: GEOPOTENTIELHEIGHT-700mb-LINEAR, GEOPOTENTIELHEIGHT-700mb                                    
500//GDPS.PRES - Hauteur géopotentielle à 500.0 mb                            | GDPS.PRES_GZ.500       | WMS, WCS     | DEFAULT: GEOPOTENTIELHEIGHT-500mb-LINEAR, GEOPOTENTIELHEIGHT-500mb                                    
250//GDPS.PRES - Hauteur géopotentielle à 250.0 mb (3 heures de prévision)    | GDPS.PRES_GZ.250.3h    | WMS, WCS     | DEFAULT: GEOPOTENTIELHEIGHT-250mb-LINEAR, GEOPOTENTIELHEIGHT-250mb                                    
250//GDPS.PRES - Hauteur géopotentielle à 250.0 mb (6 heures de prévision)    | GDPS.PRES_GZ.250.6h    | WMS, WCS     | DEFAULT: GEOPOTENTIELHEIGHT-250mb-LINEAR, GEOPOTENTIELHEIGHT-250mb                                    
200//GDPS.PRES - Hauteur géopotentielle à 200.0 mb (3 heures de prévision)    | GDPS.PRES_GZ.200.3h    | WMS, WCS     | DEFAULT: GEOPOTENTIELHEIGHT-200mb-LINEAR, GEOPOTENTIELHEIGHT-200mb                                    
200//GDPS.PRES - Hauteur géopotentielle à 200.0 mb (6 heures de prévision)    | GDPS.PRES_GZ.200.6h    | WMS, WCS     | DEFAULT: GEOPOTENTIELHEIGHT-200mb-LINEAR, GEOPOTENTIELHEIGHT-200mb                                    
100//GDPS.PRES - Hauteur géopotentielle à 100.0 mb (3 heures de prévision)    | GDPS.PRES_GZ.100.3h    | WMS, WCS     | DEFAULT: GEOPOTENTIELHEIGHT-100mb-LINEAR, GEOPOTENTIELHEIGHT-100mb                                    
100//GDPS.PRES - Hauteur géopotentielle à 100.0 mb (6 heures de prévision)    | GDPS.PRES_GZ.100.6h    | WMS, WCS     | DEFAULT: GEOPOTENTIELHEIGHT-100mb-LINEAR, GEOPOTENTIELHEIGHT-100mb                                    
50//GDPS.PRES - Hauteur géopotentielle à 50.0 mb (3 heures de prévision)      | GDPS.PRES_GZ.50.3h     | WMS, WCS     | DEFAULT: GEOPOTENTIELHEIGHT-50mb-LINEAR, GEOPOTENTIELHEIGHT-50mb                                      
