Name                                                               | Id                  | Web Services | Styles                            
-------------------------------------------------------------------|---------------------|--------------|-----------------------------------
OCEAN.GIOPS.2D - Ice velocity                                      | OCEAN.GIOPS.2D_UUI  | WFS, WMS     | DEFAULT: SEA_CURARROW             
OCEAN.GIOPS.2D - Ocean current                                     | OCEAN.GIOPS.2D_UU2W | WFS, WMS     | DEFAULT: SEA_CURARROW             
OCEAN.GIOPS.2D - Sea ice fraction                                  | OCEAN.GIOPS.2D_GL   | WMS, WCS     | DEFAULT: SEA_ICECONC-LINEAR       
OCEAN.GIOPS.2D - Volume of sea ice per unit grid cell              | OCEAN.GIOPS.2D_GE   | WMS, WCS     | DEFAULT: SEA_ICETHICK-LINEAR      
OCEAN.GIOPS.2D - Sea temperature                                   | OCEAN.GIOPS.2D_TM2  | WMS, WCS     | DEFAULT: SEA_TEMPSURF-LINEAR      
OCEAN.GIOPS.2D - Sea Water Salinity                                | OCEAN.GIOPS.2D_SALW | WMS, WCS     | DEFAULT: SEA_SALT-LINEAR          
OCEAN.GIOPS.2D - Sea surface height with respect to the geoid      | OCEAN.GIOPS.2D_SSH  | WMS, WCS     | DEFAULT: SEA_SURFACE_HEIGHT-LINEAR
OCEAN.GIOPS.2D - Turbocline depth                                  | OCEAN.GIOPS.2D_MLTW | WMS, WCS     | DEFAULT: SEA_DEPTH-LINEAR         
OCEAN.GIOPS.2D - Mixed layer depth based on a density criterion    | OCEAN.GIOPS.2D_MLW  | WMS, WCS     | DEFAULT: SEA_DEPTH-LINEAR         
OCEAN.GIOPS.2D - Volume of snow on sea ice per unit grid cell area | OCEAN.GIOPS.2D_SDV  | WMS, WCS     | DEFAULT: SEA_SNOWTHICK-LINEAR     
OCEAN.GIOPS.2D - Surface temperature of sea ice/snow               | OCEAN.GIOPS.2D_TMI  | WMS, WCS     | DEFAULT: SEA_ICETEMP-LINEAR       
OCEAN.GIOPS.2D - Vertically integrated ice internal pressure       | OCEAN.GIOPS.2D_SIII | WMS, WCS     | DEFAULT: SEA_ICEPRESS-LINEAR      
OCEAN.GIOPS.2D - Vertically integrated compressive ice strength    | OCEAN.GIOPS.2D_STGI | WMS, WCS     | DEFAULT: SEA_ICESTRENGTH-LINEAR   
OCEAN.GIOPS.3D - Sea Water Salinity                                | OCEAN.GIOPS.3D_SALW | WMS, WCS     | DEFAULT: SEA_SALT-LINEAR          
OCEAN.GIOPS.3D - Sea temperature                                   | OCEAN.GIOPS.3D_TM2  | WMS, WCS     | DEFAULT: SEA_TEMPSURF             
OCEAN.GIOPS.3D - Ocean current                                     | OCEAN.GIOPS.3D_UU2W | WFS, WMS     | DEFAULT: SEA_CURARROW             

