Nom                                                                                            | Id                  | Services web | Styles                            
-----------------------------------------------------------------------------------------------|---------------------|--------------|-----------------------------------
OCEAN.GIOPS.2D - Vélocité de la glace                                                          | OCEAN.GIOPS.2D_UUI  | WFS, WMS     | DEFAULT: SEA_ICEARROW             
OCEAN.GIOPS.2D - Courant océanique                                                             | OCEAN.GIOPS.2D_UU2W | WFS, WMS     | DEFAULT: SEA_CURARROW             
OCEAN.GIOPS.2D - Fraction de glace marine                                                      | OCEAN.GIOPS.2D_GL   | WMS, WCS     | DEFAULT: SEA_ICECONC              
OCEAN.GIOPS.2D - Volume de glace de mer par unité de surface de cellule de la grille           | OCEAN.GIOPS.2D_GE   | WMS, WCS     | DEFAULT: SEA_ICETHICK             
OCEAN.GIOPS.2D - Température de la mer                                                         | OCEAN.GIOPS.2D_TM2  | WMS, WCS     | DEFAULT: SEA_TEMPSURF             
OCEAN.GIOPS.2D - Salinité de l'eau de la mer                                                   | OCEAN.GIOPS.2D_SALW | WMS, WCS     | DEFAULT: SEA_SALT-LINEAR          
OCEAN.GIOPS.2D - Hauteur de la surface de la mer par rapport au géoïde                         | OCEAN.GIOPS.2D_SSH  | WMS, WCS     | DEFAULT: SEA_SURFACE_HEIGHT-LINEAR
OCEAN.GIOPS.2D - Profondeur de la turbocline                                                   | OCEAN.GIOPS.2D_MLTW | WMS, WCS     | DEFAULT: SEA_DEPTH-LINEAR         
OCEAN.GIOPS.2D - Profondeur de la couche de mélange d'après le critère de densité              | OCEAN.GIOPS.2D_MLW  | WMS, WCS     | DEFAULT: SEA_DEPTH-LINEAR         
OCEAN.GIOPS.2D - Volume de neige sur la glace de mer par unité de surface de cellule de grille | OCEAN.GIOPS.2D_SDV  | WMS, WCS     | DEFAULT: SEA_SNOWTHICK-LINEAR     
OCEAN.GIOPS.2D - Température de la surface de la neige/glace de mer                            | OCEAN.GIOPS.2D_TMI  | WMS, WCS     | DEFAULT: SEA_ICETEMP-LINEAR       
OCEAN.GIOPS.2D - Pression interne de la glace, intégrée verticalement                          | OCEAN.GIOPS.2D_SIII | WMS, WCS     | DEFAULT: SEA_ICEPRESS-LINEAR      
OCEAN.GIOPS.2D - Résistance de la compression de la glace, intégrée verticalement              | OCEAN.GIOPS.2D_STGI | WMS, WCS     | DEFAULT: SEA_ICESTRENGTH-LINEAR   
OCEAN.GIOPS.3D - Salinité de l'eau de la mer                                                   | OCEAN.GIOPS.3D_SALW | WMS, WCS     | DEFAULT: SEA_SALT-LINEAR          
OCEAN.GIOPS.3D - Température de la mer                                                         | OCEAN.GIOPS.3D_TM2  | WMS, WCS     | DEFAULT: SEA_TEMPSURF             
OCEAN.GIOPS.3D - Courant océanique                                                             | OCEAN.GIOPS.3D_UU2W | WFS, WMS     | DEFAULT: SEA_CURARROW             

