Nom                                                                          | Id                             | Services web | Styles                                                                                                
-----------------------------------------------------------------------------|--------------------------------|--------------|-------------------------------------------------------------------------------------------------------
HRDPS.CONTINENTAL - Hauteur géopotentielle                                   | HRDPS.CONTINENTAL_GZ           | WMS, WCS     | DEFAULT: GEOPOTENTIELHEIGHT-LINEAR, GEOPOTENTIELHEIGHT                                                
HRDPS.CONTINENTAL - Couverture nuageuse totale (fraction)                    | HRDPS.CONTINENTAL_NT           | WMS, WCS     | DEFAULT: CLOUD                                                                                        
HRDPS.CONTINENTAL - Température du point de rosée                            | HRDPS.CONTINENTAL_TD           | WMS, WCS     | DEFAULT: DEWPOINT                                                                                     
HRDPS.CONTINENTAL - Pression à la surface                                    | HRDPS.CONTINENTAL_P0           | WMS, WCS     | DEFAULT: PRESSURE                                                                                     
HRDPS.CONTINENTAL - Précipitations accumulées                                | HRDPS.CONTINENTAL_PR           | WMS, WCS     | DEFAULT: CAPA24-LINEAR, PRECIPMM, PRECIPMM-LINEAR, CAPA24                                             
HRDPS.CONTINENTAL - Taux de précipitation instantané (m/s)                   | HRDPS.CONTINENTAL_RT           | WMS, WCS     | DEFAULT: PRECIPPRTMMH, PRECIPPRTMMH-LINEAR                                                            
HRDPS.CONTINENTAL - Pluie accumulée                                          | HRDPS.CONTINENTAL_RN           | WMS, WCS     | DEFAULT: CAPA24-LINEAR, PRECIPMM, PRECIPMM-LINEAR, CAPA24                                             
HRDPS.CONTINENTAL - Pluie verglaçante accumulée                              | HRDPS.CONTINENTAL_FR           | WMS, WCS     | DEFAULT: CAPA24-LINEAR, PRECIPMM, PRECIPMM-LINEAR, CAPA24                                             
HRDPS.CONTINENTAL - Neige accumulée                                          | HRDPS.CONTINENTAL_SN           | WMS, WCS     | DEFAULT: PRECIPSNOW, PRECIPSNOW-LINEAR                                                                
HRDPS.CONTINENTAL - Température de la surface et du sol (Profondeur/moyenne) | HRDPS.CONTINENTAL_I0           | WMS, WCS     | DEFAULT: TEMPSOIL                                                                                     
HRDPS.CONTINENTAL - Humidité relative                                        | HRDPS.CONTINENTAL_HR           | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
HRDPS.CONTINENTAL - Pression au niveau de la mer (contour)                   | HRDPS.CONTINENTAL_PN           | WFS, WMS     | DEFAULT: PRESSURE4_LINE                                                                               
HRDPS.CONTINENTAL - Pression au niveau de la mer                             | HRDPS.CONTINENTAL_PN-SLP       | WMS, WCS     | DEFAULT: PRESSURE4-LINEAR, PRESSURE4, PRESSURESEAHIGH, PRESSURESEALOW                                 
HRDPS.CONTINENTAL - Écart du point de rosée                                  | HRDPS.CONTINENTAL_ES           | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
HRDPS.CONTINENTAL - Humidité spécifique                                      | HRDPS.CONTINENTAL_HU           | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
HRDPS.CONTINENTAL - Température de l'air                                     | HRDPS.CONTINENTAL_TT           | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPERATURE-LINEAR, TEMPSUMMER, TEMPSUMMER-LINEAR, TEMPWINTER
HRDPS.CONTINENTAL - Vents                                                    | HRDPS.CONTINENTAL_UU           | WFS, WMS     | DEFAULT: WINDARROWKNOTS-NS, WINDARROW-NS                                                              
1000//HRDPS.CONTINENTAL.PRES - Hauteur géopotentielle à 1000.0 mb            | HRDPS.CONTINENTAL.PRES_GZ.1000 | WMS, WCS     | DEFAULT: GEOPOTENTIELHEIGHT-1000mb-LINEAR, GEOPOTENTIELHEIGHT-1000mb                                  
925//HRDPS.CONTINENTAL.PRES - Hauteur géopotentielle à 925.0 mb              | HRDPS.CONTINENTAL.PRES_GZ.925  | WMS, WCS     | DEFAULT: GEOPOTENTIELHEIGHT-925mb-LINEAR, GEOPOTENTIELHEIGHT-925mb                                    
850//HRDPS.CONTINENTAL.PRES - Hauteur géopotentielle à 850.0 mb              | HRDPS.CONTINENTAL.PRES_GZ.850  | WMS, WCS     | DEFAULT: GEOPOTENTIELHEIGHT-925mb-LINEAR, GEOPOTENTIELHEIGHT-925mb                                    
700//HRDPS.CONTINENTAL.PRES - Hauteur géopotentielle à 700.0 mb              | HRDPS.CONTINENTAL.PRES_GZ.700  | WMS, WCS     | DEFAULT: GEOPOTENTIELHEIGHT-700mb-LINEAR, GEOPOTENTIELHEIGHT-700mb                                    
500//HRDPS.CONTINENTAL.PRES - Hauteur géopotentielle à 500.0 mb              | HRDPS.CONTINENTAL.PRES_GZ.500  | WMS, WCS     | DEFAULT: GEOPOTENTIELHEIGHT-500mb-LINEAR, GEOPOTENTIELHEIGHT-500mb                                    
250//HRDPS.CONTINENTAL.PRES - Hauteur géopotentielle à 250.0 mb              | HRDPS.CONTINENTAL.PRES_GZ.250  | WMS, WCS     | DEFAULT: GEOPOTENTIELHEIGHT-250mb-LINEAR, GEOPOTENTIELHEIGHT-250mb                                    
200//HRDPS.CONTINENTAL.PRES - Hauteur géopotentielle à 200.0 mb              | HRDPS.CONTINENTAL.PRES_GZ.200  | WMS, WCS     | DEFAULT: GEOPOTENTIELHEIGHT-200mb-LINEAR, GEOPOTENTIELHEIGHT-200mb                                    
100//HRDPS.CONTINENTAL.PRES - Hauteur géopotentielle à 100.0 mb              | HRDPS.CONTINENTAL.PRES_GZ.100  | WMS, WCS     | DEFAULT: GEOPOTENTIELHEIGHT-100mb-LINEAR, GEOPOTENTIELHEIGHT-100mb                                    
50//HRDPS.CONTINENTAL.PRES - Hauteur géopotentielle à 50.0 mb                | HRDPS.CONTINENTAL.PRES_GZ.50   | WMS, WCS     | DEFAULT: GEOPOTENTIELHEIGHT-50mb-LINEAR, GEOPOTENTIELHEIGHT-50mb                                      
1015//HRDPS.CONTINENTAL.PRES - Écart du point de rosée à 1015.0 mb           | HRDPS.CONTINENTAL.PRES_ES.1015 | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
1000//HRDPS.CONTINENTAL.PRES - Écart du point de rosée à 1000.0 mb           | HRDPS.CONTINENTAL.PRES_ES.1000 | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
985//HRDPS.CONTINENTAL.PRES - Écart du point de rosée à 985.0 mb             | HRDPS.CONTINENTAL.PRES_ES.985  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
970//HRDPS.CONTINENTAL.PRES - Écart du point de rosée à 970.0 mb             | HRDPS.CONTINENTAL.PRES_ES.970  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
950//HRDPS.CONTINENTAL.PRES - Écart du point de rosée à 950.0 mb             | HRDPS.CONTINENTAL.PRES_ES.950  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
925//HRDPS.CONTINENTAL.PRES - Écart du point de rosée à 925.0 mb             | HRDPS.CONTINENTAL.PRES_ES.925  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
900//HRDPS.CONTINENTAL.PRES - Écart du point de rosée à 900.0 mb             | HRDPS.CONTINENTAL.PRES_ES.900  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
875//HRDPS.CONTINENTAL.PRES - Écart du point de rosée à 875.0 mb             | HRDPS.CONTINENTAL.PRES_ES.875  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
850//HRDPS.CONTINENTAL.PRES - Écart du point de rosée à 850.0 mb             | HRDPS.CONTINENTAL.PRES_ES.850  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
800//HRDPS.CONTINENTAL.PRES - Écart du point de rosée à 800.0 mb             | HRDPS.CONTINENTAL.PRES_ES.800  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
750//HRDPS.CONTINENTAL.PRES - Écart du point de rosée à 750.0 mb             | HRDPS.CONTINENTAL.PRES_ES.750  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
700//HRDPS.CONTINENTAL.PRES - Écart du point de rosée à 700.0 mb             | HRDPS.CONTINENTAL.PRES_ES.700  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
650//HRDPS.CONTINENTAL.PRES - Écart du point de rosée à 650.0 mb             | HRDPS.CONTINENTAL.PRES_ES.650  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
