Name                                                 | Id                | Web Services | Styles                                                                                    
-----------------------------------------------------|-------------------|--------------|-------------------------------------------------------------------------------------------
RDPS.ETA - Total cloud cover (fraction)              | RDPS.ETA_NT       | WMS, WCS     | DEFAULT: CLOUD                                                                            
RDPS.ETA - Dew point depression                      | RDPS.ETA_ES       | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                      
RDPS.ETA - Dew point temperature                     | RDPS.ETA_TD       | WMS, WCS     | DEFAULT: DEWPOINT                                                                         
RDPS.ETA - Instantaneous precipitation rate (m/s)    | RDPS.ETA_RT       | WMS, WCS     | DEFAULT: PRECIPPRTMMH                                                                     
RDPS.ETA - Air temperature                           | RDPS.ETA_TT       | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPSUMMER, TEMPWINTER, TEMPERATURE-LINEAR       
RDPS.ETA - Geopotential Height                       | RDPS.ETA_GZ       | WMS, WCS     | DEFAULT: GPHEIGHT                                                                         
RDPS.ETA - Specific Humidity                         | RDPS.ETA_HU       | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                     
RDPS.ETA - Freezing rain accumulation                | RDPS.ETA_FR       | WMS, WCS     | DEFAULT: CAPA24-LINEAR, PRECIPMM, PRECIPMM-LINEAR                                         
RDPS.ETA - Surface pressure                          | RDPS.ETA_P0       | WMS, WCS     | DEFAULT: PRESSURE                                                                         
RDPS.ETA - Precipitation accumulation                | RDPS.ETA_PR       | WMS, WCS     | DEFAULT: CAPA24-LINEAR, PRECIPMM, PRECIPMM-LINEAR                                         
RDPS.ETA - Rain accumulation                         | RDPS.ETA_RN       | WMS, WCS     | DEFAULT: CAPA24-LINEAR, PRECIPMM, PRECIPMM-LINEAR                                         
RDPS.ETA - Snow accumulation                         | RDPS.ETA_SN       | WMS, WCS     | DEFAULT: PRECIPSNOW-LINEAR                                                                
RDPS.ETA - Surface and soil temperatures (Deep/Mean) | RDPS.ETA_I0       | WMS, WCS     | DEFAULT: TEMPSOIL-NONLINEAR                                                               
RDPS.ETA - Sea level pressure (contour)              | RDPS.ETA_PN       | WFS, WMS     | DEFAULT: PRESSURE4_LINE                                                                   
RDPS.ETA - Sea level pressure                        | RDPS.ETA_PN-SLP   | WMS, WCS     | DEFAULT: PRESSURE4-LINEAR, PRESSURE4, PRESSURESEAHIGH                                     
RDPS.ETA - Winds                                     | RDPS.ETA_UU       | WFS, WMS     | DEFAULT: WINDARROW                                                                        
RDPS.PRES - Winds at 1000.0 mb                       | RDPS.PRES_UU.1000 | WFS, WMS     | DEFAULT: WINDARROW                                                                        
RDPS.PRES - Winds at 925.0 mb                        | RDPS.PRES_UU.925  | WFS, WMS     | DEFAULT: WINDARROW                                                                        
RDPS.PRES - Winds at 850.0 mb                        | RDPS.PRES_UU.850  | WFS, WMS     | DEFAULT: WINDARROW                                                                        
RDPS.PRES - Winds at 700.0 mb                        | RDPS.PRES_UU.700  | WFS, WMS     | DEFAULT: WINDARROW                                                                        
RDPS.PRES - Winds at 500.0 mb                        | RDPS.PRES_UU.500  | WFS, WMS     | DEFAULT: WINDARROW                                                                        
RDPS.PRES - Air temperature at 1000.0 mb             | RDPS.PRES_TT.1000 | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPERATURE-LINEAR, TEMPSUMMER, TEMPSUMMER-LINEAR
RDPS.PRES - Air temperature at 925.0 mb              | RDPS.PRES_TT.925  | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPERATURE-LINEAR, TEMPSUMMER, TEMPSUMMER-LINEAR
