Nom                                                                 | Id                | Services web | Styles                                                                                                
--------------------------------------------------------------------|-------------------|--------------|-------------------------------------------------------------------------------------------------------
RDPS.ETA - Couverture nuageuse totale (fraction)                    | RDPS.ETA_NT       | WMS, WCS     | DEFAULT: CLOUD                                                                                        
RDPS.ETA - Température du point de rosée                            | RDPS.ETA_TD       | WMS, WCS     | DEFAULT: DEWPOINT                                                                                     
RDPS.ETA - Taux de précipitation instantané (m/s)                   | RDPS.ETA_RT       | WMS, WCS     | DEFAULT: PRECIPPRTMMH, PRECIPPRTMMH-LINEAR                                                            
RDPS.ETA - Hauteur géopotentielle                                   | RDPS.ETA_GZ       | WMS, WCS     | DEFAULT: GPHEIGHT                                                                                     
RDPS.ETA -  Pluie verglaçante accumulée                             | RDPS.ETA_FR       | WMS, WCS     | DEFAULT: CAPA24-LINEAR, PRECIPMM, PRECIPMM-LINEAR, CAPA24                                             
RDPS.ETA - Pression à la surface                                    | RDPS.ETA_P0       | WMS, WCS     | DEFAULT: PRESSURE                                                                                     
RDPS.ETA - Précipitations accumulées                                | RDPS.ETA_PR       | WMS, WCS     | DEFAULT: CAPA24-LINEAR, PRECIPMM, PRECIPMM-LINEAR, CAPA24                                             
RDPS.ETA - Pluie accumulée                                          | RDPS.ETA_RN       | WMS, WCS     | DEFAULT: CAPA24-LINEAR, PRECIPMM, PRECIPMM-LINEAR, CAPA24                                             
RDPS.ETA - Neige accumulée                                          | RDPS.ETA_SN       | WMS, WCS     | DEFAULT: PRECIPSNOW, PRECIPSNOW-LINEAR                                                                
RDPS.ETA - Température de la surface et du sol (Profondeur/moyenne) | RDPS.ETA_I0       | WMS, WCS     | DEFAULT: TEMPSOIL                                                                                     
RDPS.ETA - Pression au niveau de la mer (contour)                   | RDPS.ETA_PN       | WFS, WMS     | DEFAULT: PRESSURE4_LINE                                                                               
RDPS.ETA - Pression au niveau de la mer                             | RDPS.ETA_PN-SLP   | WMS, WCS     | DEFAULT: PRESSURE4-LINEAR, PRESSURE4, PRESSURESEAHIGH, PRESSURESEALOW                                 
RDPS.ETA - Écart du point de rosée                                  | RDPS.ETA_ES       | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
