Nom                                                                                            | Id                       | Services web | Styles                                                                                                                        
-----------------------------------------------------------------------------------------------|--------------------------|--------------|-------------------------------------------------------------------------------------------------------------------------------
OCEAN.RIOPS.2D - Vélocité de la glace                                                          | OCEAN.RIOPS.2D_UUI       | WFS, WMS     | DEFAULT: SEA_CURARROW                                                                                                         
OCEAN.RIOPS.2D - Courant océanique                                                             | OCEAN.RIOPS.2D_UU2W      | WFS, WMS     | DEFAULT: SEA_CURARROW                                                                                                         
OCEAN.RIOPS.2D - Fraction de glace marine                                                      | OCEAN.RIOPS.2D_GL        | WMS, WCS     | DEFAULT: SEA_ICECONC-LINEAR, SEA_ICECONC, SEA_ICECONC-CIS                                                                     
OCEAN.RIOPS.2D - Volume de glace de mer par unité de surface de cellule de la grille           | OCEAN.RIOPS.2D_GE        | WMS, WCS     | DEFAULT: SEA_ICETHICK-LINEAR, SEA_ICETHICK, SEA_ICETHICK-CIS                                                                  
OCEAN.RIOPS.2D - Température de la mer                                                         | OCEAN.RIOPS.2D_TM2       | WMS, WCS     | DEFAULT: SEA_TEMPSURF-DEFAULT, SEA_TEMPSURF-MIZ, SEA_TEMPSURF-COLD-CIS, SEA_TEMPSURF-COLD, SEA_TEMPSURF-MID, SEA_TEMPSURF-WARM
OCEAN.RIOPS.2D - Salinité de l'eau de la mer                                                   | OCEAN.RIOPS.2D_SALW      | WMS, WCS     | DEFAULT: SEA_SALT-DEFAULT, SEA_SALT-COASTAL, SEA_SALT-FRESH, SEA_SALT-FULL                                                    
OCEAN.RIOPS.2D - Hauteur de la surface de la mer par rapport au géoïde                         | OCEAN.RIOPS.2D_SSH       | WMS, WCS     | DEFAULT: SEA_SURFACE_HEIGHT-DEFAULT, SEA_SURFACE_HEIGHT-TINY, SEA_SURFACE_HEIGHT-MID                                          
OCEAN.RIOPS.2D - Profondeur de la turbocline                                                   | OCEAN.RIOPS.2D_MLTW      | WMS, WCS     | DEFAULT: SEA_DEPTH-DEFAULT, SEA_DEPTH-SHALLOW, SEA_DEPTH-MID, SEA_DEPTH-DEEP                                                  
OCEAN.RIOPS.2D - Profondeur de la couche de mélange d'après le critère de densité              | OCEAN.RIOPS.2D_MLW       | WMS, WCS     | DEFAULT: SEA_DEPTH-DEFAULT, SEA_DEPTH-SHALLOW, SEA_DEPTH-MID, SEA_DEPTH-DEEP                                                  
OCEAN.RIOPS.2D - Volume de neige sur la glace de mer par unité de surface de cellule de grille | OCEAN.RIOPS.2D_SDV       | WMS, WCS     | DEFAULT: SEA_SNOWTHICK-LINEAR, SEA_SNOWTHICK                                                                                  
OCEAN.RIOPS.2D - Température de la surface de la neige/glace de mer                            | OCEAN.RIOPS.2D_TMI       | WMS, WCS     | DEFAULT: SEA_ICETEMP-LINEAR, SEA_ICETEMP, SEA_ICETEMP-CIS                                                                     
OCEAN.RIOPS.2D - Pression interne de la glace, intégrée verticalement                          | OCEAN.RIOPS.2D_SIII      | WMS, WCS     | DEFAULT: SEA_ICEPRESS-LINEAR, SEA_ICEPRESS, SEA_ICEPRESS-CIS                                                                  
OCEAN.RIOPS.2D - Résistance de la compression de la glace, intégrée verticalement              | OCEAN.RIOPS.2D_STGI      | WMS, WCS     | DEFAULT: SEA_ICESTRENGTH-LINEAR, SEA_ICESTRENGTH, SEA_ICESTRENGTH-CIS                                                         
Salinité de l'eau de la mer//OCEAN.RIOPS.3D - Salinité de l'eau de la mer - 0000m              | OCEAN.RIOPS.3D_SALW_0000 | WMS, WCS     | DEFAULT: SEA_SALT-DEFAULT, SEA_SALT-COASTAL, SEA_SALT-FRESH, SEA_SALT-FULL                                                    
Salinité de l'eau de la mer//OCEAN.RIOPS.3D - Salinité de l'eau de la mer - 0002m              | OCEAN.RIOPS.3D_SALW_0002 | WMS, WCS     | DEFAULT: SEA_SALT-DEFAULT, SEA_SALT-COASTAL, SEA_SALT-FRESH, SEA_SALT-FULL                                                    
Salinité de l'eau de la mer//OCEAN.RIOPS.3D - Salinité de l'eau de la mer - 0003m              | OCEAN.RIOPS.3D_SALW_0003 | WMS, WCS     | DEFAULT: SEA_SALT-DEFAULT, SEA_SALT-COASTAL, SEA_SALT-FRESH, SEA_SALT-FULL                                                    
Salinité de l'eau de la mer//OCEAN.RIOPS.3D - Salinité de l'eau de la mer - 0004m              | OCEAN.RIOPS.3D_SALW_0004 | WMS, WCS     | DEFAULT: SEA_SALT-DEFAULT, SEA_SALT-COASTAL, SEA_SALT-FRESH, SEA_SALT-FULL                                                    
Salinité de l'eau de la mer//OCEAN.RIOPS.3D - Salinité de l'eau de la mer - 0005m              | OCEAN.RIOPS.3D_SALW_0005 | WMS, WCS     | DEFAULT: SEA_SALT-DEFAULT, SEA_SALT-COASTAL, SEA_SALT-FRESH, SEA_SALT-FULL                                                    
Salinité de l'eau de la mer//OCEAN.RIOPS.3D - Salinité de l'eau de la mer - 0006m              | OCEAN.RIOPS.3D_SALW_0006 | WMS, WCS     | DEFAULT: SEA_SALT-DEFAULT, SEA_SALT-COASTAL, SEA_SALT-FRESH, SEA_SALT-FULL                                                    
Salinité de l'eau de la mer//OCEAN.RIOPS.3D - Salinité de l'eau de la mer - 0008m              | OCEAN.RIOPS.3D_SALW_0008 | WMS, WCS     | DEFAULT: SEA_SALT-DEFAULT, SEA_SALT-COASTAL, SEA_SALT-FRESH, SEA_SALT-FULL                                                    
Salinité de l'eau de la mer//OCEAN.RIOPS.3D - Salinité de l'eau de la mer - 0010m              | OCEAN.RIOPS.3D_SALW_0010 | WMS, WCS     | DEFAULT: SEA_SALT-DEFAULT, SEA_SALT-COASTAL, SEA_SALT-FRESH, SEA_SALT-FULL                                                    
Salinité de l'eau de la mer//OCEAN.RIOPS.3D - Salinité de l'eau de la mer - 0011m              | OCEAN.RIOPS.3D_SALW_0011 | WMS, WCS     | DEFAULT: SEA_SALT-DEFAULT, SEA_SALT-COASTAL, SEA_SALT-FRESH, SEA_SALT-FULL                                                    
Salinité de l'eau de la mer//OCEAN.RIOPS.3D - Salinité de l'eau de la mer - 0013m              | OCEAN.RIOPS.3D_SALW_0013 | WMS, WCS     | DEFAULT: SEA_SALT-DEFAULT, SEA_SALT-COASTAL, SEA_SALT-FRESH, SEA_SALT-FULL                                                    
Salinité de l'eau de la mer//OCEAN.RIOPS.3D - Salinité de l'eau de la mer - 0016m              | OCEAN.RIOPS.3D_SALW_0016 | WMS, WCS     | DEFAULT: SEA_SALT-DEFAULT, SEA_SALT-COASTAL, SEA_SALT-FRESH, SEA_SALT-FULL                                                    
Salinité de l'eau de la mer//OCEAN.RIOPS.3D - Salinité de l'eau de la mer - 0018m              | OCEAN.RIOPS.3D_SALW_0018 | WMS, WCS     | DEFAULT: SEA_SALT-DEFAULT, SEA_SALT-COASTAL, SEA_SALT-FRESH, SEA_SALT-FULL                                                    
Salinité de l'eau de la mer//OCEAN.RIOPS.3D - Salinité de l'eau de la mer - 0022m              | OCEAN.RIOPS.3D_SALW_0022 | WMS, WCS     | DEFAULT: SEA_SALT-DEFAULT, SEA_SALT-COASTAL, SEA_SALT-FRESH, SEA_SALT-FULL                                                    
Salinité de l'eau de la mer//OCEAN.RIOPS.3D - Salinité de l'eau de la mer - 0025m              | OCEAN.RIOPS.3D_SALW_0025 | WMS, WCS     | DEFAULT: SEA_SALT-DEFAULT, SEA_SALT-COASTAL, SEA_SALT-FRESH, SEA_SALT-FULL                                                    
Salinité de l'eau de la mer//OCEAN.RIOPS.3D - Salinité de l'eau de la mer - 0029m              | OCEAN.RIOPS.3D_SALW_0029 | WMS, WCS     | DEFAULT: SEA_SALT-DEFAULT, SEA_SALT-COASTAL, SEA_SALT-FRESH, SEA_SALT-FULL                                                    
Salinité de l'eau de la mer//OCEAN.RIOPS.3D - Salinité de l'eau de la mer - 0034m              | OCEAN.RIOPS.3D_SALW_0034 | WMS, WCS     | DEFAULT: SEA_SALT-DEFAULT, SEA_SALT-COASTAL, SEA_SALT-FRESH, SEA_SALT-FULL                                                    
