Variable,Abbreviation,Level,Unit/Value
(prodType 10, cat 3, subcat 195) [-],unknown,Surface,unknown
Geopotential height,HGT,500 mb,gpm
Precipitation rate,PRATE,Surface,kg/(m<sup>2</sup>*s)
Pressure reduced to Mean Sea Level,PRMSL,Mean Sea Level,Pa
Sea surface height relarive to geoid,SSHG,Surface,m
Temperature,TMP,2 m Above Ground Level,K
Temperature,TMP,850 mb,K
Water temperature,WTMP,Surface,K
u-component of wind,UGRD,200 mb,m/s
u-component of wind,UGRD,850 mb,m/s
v-component of wind,VGRD,200 mb,m/s
v-component of wind,VGRD,850 mb,m/s
